season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,WR,00-0037238,Drake London,0.0,13.575,14.403,13.531,3.673,10.356,24.002,13.575,13.531,14.403,0.044,-0.828
2023,1,WR,00-0037239,Chris Olave,19.2,10.5,11.58,11.67,3.666,8.605,22.429,8.7,7.53,7.62,1.17,1.08
2023,1,WR,00-0037247,George Pickens,8.6,11.275,8.971,8.611,0.468,6.981,18.061,2.675,0.011,0.371,2.664,2.304
2023,1,WR,00-0037257,David Bell,0.0,2.125,3.313,3.836,-0.003,2.58,12.111,2.125,3.836,3.313,-1.711,-1.188
2023,1,WR,00-0037291,Jalen Nailor,0.0,7.025,2.522,0.636,-0.188,-0.046,2.813,7.025,0.636,2.522,6.389,4.503
2023,1,WR,00-0037382,Brandon Johnson,5.1,3.75,4.086,3.277,0.009,2.955,11.252,1.35,1.823,1.014,-0.473,0.336
2023,1,WR,00-0037487,Deven Thompkins,3.0,2.7,4.357,5.482,0.159,4.991,14.663,0.3,2.482,1.357,-2.182,-1.057
2023,1,WR,00-0037545,Rashid Shaheed,21.0,11.9,10.855,10.972,2.339,8.493,22.265,9.1,10.028,10.145,-0.928,-1.045
2023,1,WR,00-0037664,Alec Pierce,1.5,4.325,7.543,6.658,0.523,5.607,16.293,2.825,5.158,6.043,-2.333,-3.218
2023,1,WR,00-0037666,Jalen Tolbert,0.0,1.067,3.835,3.869,-0.023,2.578,11.224,1.067,3.869,3.835,-2.802,-2.769
